Date,BPI
10/30/2017,6121.8
10/31/2017,6447.6675
11/1/2017,6750.1725
11/2/2017,7030.0025
11/3/2017,7161.4513
11/4/2017,7386.9988
11/5/2017,7382.4488
11/6/2017,6958.2113
11/7/2017,7118.8013
11/8/2017,7458.795
11/9/2017,7146.7813
11/10/2017,6570.3125
11/11/2017,6337
11/12/2017,5857.3175
11/13/2017,6517.6763
11/14/2017,6598.7688
11/15/2017,7279.0013
11/16/2017,7843.9375
11/17/2017,7689.9088
11/18/2017,7776.94
11/19/2017,8033.9363
11/20/2017,8238.2025
11/21/2017,8095.5938
11/22/2017,8230.6925
11/23/2017,8002.6413
11/24/2017,8201.4613
11/25/2017,8763.785
11/26/2017,9326.5888
11/27/2017,9739.055
11/28/2017,9908.2288
11/29/2017,9816.3475
11/30/2017,9916.5363
12/1/2017,10859.5625
12/2/2017,10895.0138
12/3/2017,11180.8875
12/4/2017,11616.855
12/5/2017,11696.0583
12/6/2017,13708.9913
12/7/2017,16858.02
12/8/2017,16057.145
12/9/2017,14913.4038
12/10/2017,15036.9563
12/11/2017,16699.6775
12/12/2017,17178.1025
12/13/2017,16407.2025
12/14/2017,16531.0838
12/15/2017,17601.9438
12/16/2017,19343.04
12/17/2017,19086.6438
12/18/2017,18960.5225
12/19/2017,17608.35
12/20/2017,16454.7225
12/21/2017,15561.05
12/22/2017,13857.145
12/23/2017,14548.71
12/24/2017,13975.4363
12/25/2017,13917.0275
12/26/2017,15745.2575
12/27/2017,15378.285
12/28/2017,14428.76
12/29/2017,14427.87
12/30/2017,12629.8138
12/31/2017,13860.1363
1/1/2018,13412.44
1/2/2018,14740.7563
1/3/2018,15134.6513
1/4/2018,15155.2263
1/5/2018,16937.1738
1/6/2018,17135.8363
1/7/2018,16178.495
1/8/2018,14970.3575
1/9/2018,14439.4738
1/10/2018,14890.7225
1/11/2018,13287.26
1/12/2018,13812.715
1/13/2018,14188.785
1/14/2018,13619.0288
1/15/2018,13585.9013
1/16/2018,11348.02
1/17/2018,11141.2488
1/18/2018,11250.6475
1/19/2018,11514.925
1/20/2018,12759.6413
1/21/2018,11522.8588
1/22/2018,10772.15
1/23/2018,10839.8263
1/24/2018,11399.52
1/25/2018,11137.2375
1/26/2018,11090.0638
1/27/2018,11407.1538
1/28/2018,11694.4675
1/29/2018,11158.3938
1/30/2018,10034.9975
1/31/2018,10166.5063
2/1/2018,9052.5763
2/2/2018,8827.63
2/3/2018,9224.3913
2/4/2018,8186.6488
2/5/2018,6914.26
2/6/2018,7700.3863
2/7/2018,7581.8038
2/8/2018,8237.2363
2/9/2018,8689.8388
2/10/2018,8556.6125
2/11/2018,8070.7963
2/12/2018,8891.2125
2/13/2018,8516.2438
2/14/2018,9477.84
2/15/2018,10016.4888
2/16/2018,10178.7125
2/17/2018,11092.1475
2/18/2018,10396.63
2/19/2018,11159.7238
2/20/2018,11228.2413
2/21/2018,10456.1725
2/22/2018,9830.4263
2/23/2018,10149.4625
2/24/2018,9682.3825
2/25/2018,9586.46
2/26/2018,10313.0825
2/27/2018,10564.4188
2/28/2018,10309.6413
3/1/2018,10907.59
3/2/2018,11019.5213
3/3/2018,11438.6513
3/4/2018,11479.7313
3/5/2018,11432.9825
3/6/2018,10709.5275
3/7/2018,9906.8
3/8/2018,9299.2838
3/9/2018,9237.05
3/10/2018,8787.1638
3/11/2018,9532.7413
3/12/2018,9118.2713
3/13/2018,9144.1475
3/14/2018,8196.8975
3/15/2018,8256.9938
3/16/2018,8269.3275
3/17/2018,7862.1088
3/18/2018,8196.0225
3/19/2018,8594.1913
3/20/2018,8915.9038
3/21/2018,8895.4
3/22/2018,8712.8913
3/23/2018,8918.7438
3/24/2018,8535.8938
3/25/2018,8449.835
3/26/2018,8138.3363
3/27/2018,7790.1575
3/28/2018,7937.205
3/29/2018,7086.4875
3/30/2018,6844.3213
3/31/2018,6926.0175
4/1/2018,6816.74
4/2/2018,7049.7938
4/3/2018,7417.8875
4/4/2018,6789.3013
4/5/2018,6774.7513
4/6/2018,6620.4088
4/7/2018,6896.2813
4/8/2018,7022.7088
4/9/2018,6773.9388
4/10/2018,6830.9038
4/11/2018,6939.55
4/12/2018,7916.3725
4/13/2018,7889.2313
4/14/2018,8003.6813
4/15/2018,8357.0375
4/16/2018,8051.345
4/17/2018,7890.15
4/18/2018,8163.69
4/19/2018,8273.7413
4/20/2018,8863.5025
4/21/2018,8917.5963
4/22/2018,8792.83
4/23/2018,8938.3038
4/24/2018,9652.1563
4/25/2018,8864.0875
4/26/2018,9278.9975
4/27/2018,8978.3325
4/28/2018,9342.4713
4/29/2018,9392.0313
4/30/2018,9244.3225
5/1/2018,9067.715
5/2/2018,9219.8638
5/3/2018,9734.675
5/4/2018,9692.7175
5/5/2018,9826.5975
5/6/2018,9619.1438
5/7/2018,9362.5338
5/8/2018,9180.1588
5/9/2018,9306
5/10/2018,9014.615
5/11/2018,8406.175
5/12/2018,8467.6563
5/13/2018,8688.0288
5/14/2018,8675.2063
5/15/2018,8474.2388
5/16/2018,8340.2988
5/17/2018,8058.6038
5/18/2018,8240.725
5/19/2018,8234.1525
5/20/2018,8520.8125
5/21/2018,8395.2325
5/22/2018,7983.5175
5/23/2018,7502.5588
5/24/2018,7578.6913
5/25/2018,7460.6938
5/26/2018,7334.1638
5/27/2018,7344.9675
5/28/2018,7105.6725
5/29/2018,7460.5838
5/30/2018,7375.67
5/31/2018,7487.1875
6/1/2018,7518.245
6/2/2018,7636.1938
6/3/2018,7711.365
6/4/2018,7490.59
6/5/2018,7616.8913
6/6/2018,7655.9788
6/7/2018,7688.0038
6/8/2018,7616.1025
6/9/2018,7497.3438
6/10/2018,6765.8013
6/11/2018,6877.1825
6/12/2018,6548.33
6/13/2018,6299.5225
6/14/2018,6637.7388
6/15/2018,6410.7225
6/16/2018,6485.8688
6/17/2018,6443.6725
6/18/2018,6709.48
6/19/2018,6737.4138
6/20/2018,6758.3788
6/21/2018,6717.2025
6/22/2018,6053.8963
6/23/2018,6170.56
6/24/2018,6150.1888
6/25/2018,6247.4675
6/26/2018,6074.9175
6/27/2018,6132.5625
6/28/2018,5848.2638
6/29/2018,6203.9013
6/30/2018,6387.3063
7/1/2018,6347.8588
7/2/2018,6613.27
7/3/2018,6504.9263
7/4/2018,6584.7663
7/5/2018,6531.2
7/6/2018,6600.9863
7/7/2018,6755.5613
7/8/2018,6704.1825
7/9/2018,6664.2063
7/10/2018,6302.49
7/11/2018,6381.8725
7/12/2018,6245.6338
7/13/2018,6217.6063
7/14/2018,6247.2275
7/15/2018,6349.0375
7/16/2018,6726.405
7/17/2018,7314.9425
7/18/2018,7378.7575
7/19/2018,7470.825
7/20/2018,7330.5363
7/21/2018,7404.2875
7/22/2018,7396.2863
7/23/2018,7717.5
7/24/2018,8397.635
7/25/2018,8166.76
7/26/2018,7929.61
7/27/2018,8183.025
7/28/2018,8229.96
7/29/2018,8215.56
7/30/2018,8167.9988
7/31/2018,7726.8913
8/1/2018,7603.7488
8/2/2018,7535.02
8/3/2018,7415.5613
8/4/2018,7009.0888
8/5/2018,7026.9913
8/6/2018,6937.0738
